,dim_partner_partner_id,dim_partner_partner_name,franchise_name,mall,business_type_name,cuisine,Limite de Prep Time,city,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,avg_assumed_actual_prep_time,diff_estimacion,avg_at_vendor_time_cleaned,Orders,prep_time_mas_atvc,diff_limite_%,%_orders,partner_id,cambio_final_cateogry,CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
89,526342,club del poke- coquimbo,club del poke - cl,0,Restaurant,poke,23,La serena,0.7931034483,29.63%,0.06896551724,27,32.8015873,5.801587302,4.860493827,29,31.86049383,1.173913043,0.006742617996,526342,categoria_2,526342,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
78,509615,dunkin' arauco angamos,dunkin donuts,0,Restaurant,cafetería,14,Antofagasta,0.1818181818,30.00%,0.09090909091,20.18181818,22.6452381,2.463419913,5.02,11,25.20181818,1.441558442,0.002557544757,509615,categoria_2,509615,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
7,66557,burger king® - la florida,burger king,1,Restaurant,hamburguesas,15,Santiago,0.2222222222,31.25%,0.1111111111,14.27777778,17.24305556,2.965277778,7.170833333,18,21.44861111,0.9518518519,0.004185073239,66557,categoria_2,66557,MONDAY-SUNDAY,0-23,1,7,OPS_PERMANENT
95,534322,"pedro, juan y diego- rancagua cuevas","pedro, juan y diego",0,Restaurant,hamburguesas,15,Rancagua,0.5,31.71%,0.04651162791,21.93478261,26.84365079,4.908868185,8.270634921,46,30.20541753,1.462318841,0.01069518717,534322,categoria_1,534322,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
90,527150,club del poke quillota,club del poke - cl,0,Restaurant,poke,23,Vina del mar,0.2727272727,31.82%,0,24.81818182,24.76363636,-0.05454545455,6.446969697,22,31.26515152,1.079051383,0.005115089514,527150,categoria_2,527150,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
5,57297,dominó - marina arauco,dominó,1,Restaurant,completos,10,Vina del mar,0.6666666667,33.33%,0.5,12,11.66333333,-0.3366666667,4.988888889,6,16.98888889,1.2,0.001395024413,57297,categoria_2,57297,MONDAY-SUNDAY,0-23,1,6,OPS_PERMANENT
60,425070,pronto las salinas,pronto copec,0,Restaurant,hamburguesas,18,Vina del mar,0.4,33.33%,0.1428571429,23.4,27.13666667,3.736666667,6.026923077,15,29.42692308,1.3,0.003487561032,425070,categoria_2,425070,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
96,535811,carl's jr cenco la florida,carl's jr.,0,Restaurant,hamburguesas,21,Santiago,0.625,33.33%,0.1428571429,27.25,26.2875,-0.9625,4.483333333,8,31.73333333,1.297619048,0.001860032551,535811,categoria_2,535811,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
11,87802,buffet express el trebol,buffet express,1,Restaurant,comida casera,14,Concepcion,0.4285714286,35.29%,0.1904761905,18.95238095,22.95833333,4.005952381,7.139215686,21,26.09159664,1.353741497,0.004882585445,87802,categoria_2,87802,MONDAY-SUNDAY,0-23,1,9,OPS_PERMANENT
12,88287,melt pizzas - la florida,melt pizzas,0,Restaurant,pizzas,28,Santiago,0.4807692308,36.17%,0.07843137255,27.76923077,31.76127451,3.992043741,7.35,52,35.11923077,0.9917582418,0.01209021158,88287,categoria_2,88287,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
